epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,358.361,0.89446,0.4623,0.80409,0.91644,0.75111,0.80777,0.55776,0.8032,0.42992,0.80998,0.000557,0.000557,0.000557
58,364.962,0.89677,0.45076,0.80235,0.92022,0.73301,0.81732,0.55754,0.83141,0.429,0.81073,0.000544625,0.000544625,0.000544625
59,371.291,0.88489,0.45341,0.8032,0.90872,0.75135,0.81583,0.56372,0.81826,0.43937,0.81144,0.00053225,0.00053225,0.00053225
60,377.782,0.8955,0.45783,0.80338,0.85519,0.74634,0.82047,0.5498,0.83737,0.44842,0.8145,0.000519875,0.000519875,0.000519875
61,384.093,0.87465,0.45007,0.80048,0.90714,0.7478,0.8251,0.5619,0.82238,0.44236,0.81081,0.0005075,0.0005075,0.0005075
62,390.38,0.87067,0.44538,0.80578,0.91138,0.75778,0.81541,0.56259,0.81117,0.42721,0.81069,0.000495125,0.000495125,0.000495125
63,396.646,0.87807,0.44755,0.8042,0.92017,0.74458,0.81157,0.55392,0.8107,0.43266,0.80965,0.00048275,0.00048275,0.00048275
64,402.981,0.87052,0.4467,0.80472,0.83589,0.75112,0.80148,0.54769,0.81699,0.43559,0.8104,0.000470375,0.000470375,0.000470375
65,409.236,0.84535,0.43331,0.80423,0.84181,0.74257,0.80193,0.5514,0.80451,0.43023,0.81108,0.000458,0.000458,0.000458
66,415.911,0.83572,0.43068,0.80411,0.8855,0.73101,0.80213,0.55177,0.81376,0.42279,0.81251,0.000445625,0.000445625,0.000445625
67,422.646,0.86005,0.44112,0.80134,0.92724,0.73079,0.8041,0.55869,0.81065,0.43006,0.81229,0.00043325,0.00043325,0.00043325
68,429.388,0.85953,0.43425,0.80249,0.88074,0.72193,0.79383,0.55319,0.80149,0.4246,0.81117,0.000420875,0.000420875,0.000420875
69,436.074,0.83244,0.4268,0.80138,0.78514,0.77544,0.79194,0.54869,0.79583,0.42606,0.81092,0.0004085,0.0004085,0.0004085
70,442.738,0.87987,0.4435,0.80179,0.86595,0.73442,0.8005,0.5484,0.80852,0.42833,0.81181,0.000396125,0.000396125,0.000396125
71,449.539,0.82609,0.42836,0.80067,0.84955,0.73033,0.79728,0.55235,0.80167,0.43271,0.80967,0.00038375,0.00038375,0.00038375
72,456.382,0.82986,0.43477,0.80388,0.889,0.73752,0.80944,0.5547,0.79832,0.42277,0.81051,0.000371375,0.000371375,0.000371375
73,463.035,0.82631,0.42699,0.80165,0.90377,0.73121,0.81436,0.56367,0.80653,0.42357,0.80971,0.000359,0.000359,0.000359
74,470.013,0.85349,0.42694,0.80047,0.84374,0.74373,0.80087,0.55613,0.81209,0.42225,0.81027,0.000346625,0.000346625,0.000346625
75,476.853,0.83699,0.42731,0.8006,0.85375,0.70643,0.78498,0.55198,0.79947,0.42485,0.80963,0.00033425,0.00033425,0.00033425
76,483.546,0.8189,0.42103,0.80318,0.94508,0.70556,0.80305,0.55761,0.78927,0.41724,0.80847,0.000321875,0.000321875,0.000321875
77,490.316,0.8284,0.42403,0.79913,0.90455,0.72506,0.7991,0.56267,0.78845,0.4166,0.80803,0.0003095,0.0003095,0.0003095
78,496.985,0.80636,0.41597,0.79997,0.94528,0.69864,0.79298,0.56008,0.77849,0.41979,0.80884,0.000297125,0.000297125,0.000297125
79,503.56,0.82522,0.41886,0.7976,0.88751,0.72843,0.79829,0.56428,0.76508,0.41199,0.80821,0.00028475,0.00028475,0.00028475
80,510.393,0.81974,0.41679,0.79946,0.92492,0.71406,0.80351,0.56574,0.77641,0.41189,0.80794,0.000272375,0.000272375,0.000272375
81,517.946,0.82529,0.41871,0.8001,0.90366,0.73095,0.80544,0.55945,0.80171,0.42362,0.80985,0.00026,0.00026,0.00026
82,525.618,0.80674,0.40827,0.79826,0.93009,0.70932,0.80977,0.57175,0.78092,0.40882,0.80851,0.000247625,0.000247625,0.000247625
83,533.131,0.81944,0.40838,0.80076,0.88483,0.75459,0.82177,0.56839,0.79338,0.41488,0.80817,0.00023525,0.00023525,0.00023525
84,540.738,0.81343,0.41057,0.79914,0.95862,0.72059,0.81447,0.55917,0.7758,0.40797,0.80807,0.000222875,0.000222875,0.000222875
85,548.464,0.80573,0.40461,0.79616,0.87934,0.74484,0.81061,0.56192,0.76563,0.39819,0.80672,0.0002105,0.0002105,0.0002105
86,556.433,0.81305,0.40254,0.79633,0.88455,0.77163,0.8196,0.5674,0.75717,0.39784,0.80682,0.000198125,0.000198125,0.000198125
87,564.499,0.81155,0.40771,0.79601,0.89729,0.76876,0.82179,0.57538,0.75993,0.39754,0.80635,0.00018575,0.00018575,0.00018575
